tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
43.71349,566.8374,972.51776,1126.8771,-1010.2538,264.80594
434.91873,243.631,96.985825,511.94775,87.92553,92.5725
-79.92686,-12.098905,-70.827484,107.969574,226.98611,-428.51373
74.87124,-103.06212,309.66766,335.09247,7.3453126,-424.60153
21.11347,87.83961,1546.3146,1548.9839,154.28833,47.632816
-118.51875,214.46147,399.14316,468.44772,-138.41664,-21.187687
-185.21861,158.33205,-39.523167,247.88695,-280.8549,54.919968
198.1362,-214.74161,261.19815,392.68893,105.41002,-145.02286
-151.35669,93.372734,-511.90598,542.5844,-79.78826,93.72403
103.38259,96.53992,200.90456,246.16609,120.44326,-29.35456
-34.296917,302.39343,246.03882,392.1895,-247.06406,271.2912
87.65708,-88.978195,-5.842963,126.26671,-233.86626,68.918945
-152.40558,-35.69973,-278.58887,320.4856,165.22913,60.98729
-140.94814,157.83485,-214.98952,306.33084,-7.2612667,213.9207
586.6338,-424.14706,-9.226849,725.9304,-167.12831,-254.91638
144.10976,28.020157,-163.16498,219.65187,-109.364365,-50.083374
44.60867,181.28491,-21.69049,188.39273,-32.273907,285.81757
-228.6981,56.78598,65.55109,245.00314,-148.95227,33.901077
123.63904,47.52061,370.15707,393.56088,-7.1028814,865.8863
-89.79837,-28.923471,193.39912,216.42139,-43.227825,-387.45483
1.0894626,-81.62054,332.11633,342.25854,-129.97646,263.8922
-291.03912,-146.7438,-556.5019,646.2544,-215.22784,21.785374
-41.765617,-89.441,-298.92468,315.50168,36.59236,123.30011
-3.4656446,-115.72788,177.159,212.65173,-320.71478,-376.4663
-395.76697,-23.748644,344.64224,527.60394,63.865948,-129.94818
-28.198154,87.45898,41.784496,102.28444,465.74237,167.1428
-61.22954,-53.580696,306.13132,316.96213,-69.73646,-107.9799
-88.45816,12.372961,71.42761,116.02106,183.75645,4.527311
190.59525,36.24501,-6.9059887,200.20401,-130.19292,-222.29861
229.2868,112.064285,-1205.7811,1232.7928,49.043175,-140.82307
-88.46059,-146.7383,525.2683,552.6706,107.72618,69.00001
49.036552,-91.02267,-52.49359,117.84739,-314.0996,-166.68385
