tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
178.59998,69.85999,390.75433,435.27844,-176.05176,-71.26533
-240.34837,155.57211,-169.84207,332.9335,242.07393,-160.89134
-186.0968,271.07462,-88.38263,340.48514,194.95187,-260.87015
-244.46407,-301.28024,6.114183,388.04166,243.55634,281.36905
-127.99882,236.8546,-68.09064,277.70688,85.56283,-235.3166
-270.51212,62.914505,-155.95761,318.55518,299.68716,-87.760994
423.14804,260.32114,301.89435,581.52594,-424.1362,-249.6143
-482.19647,-181.92842,-306.92834,612.22906,485.35526,178.37735
-203.74298,20.143538,258.32486,329.61905,192.70547,-8.5985155
268.96478,147.80298,-104.11642,324.08456,-258.52853,-147.49568
-57.0048,171.96706,-9.200174,181.40253,24.75284,-206.06659
-170.92984,-262.06848,421.77344,525.2446,172.76088,252.13373
151.86874,-156.58516,-137.81422,258.54037,-248.5382,220.02998
-419.1048,-116.21323,284.60287,519.8286,410.7873,122.6261
-211.65208,181.86075,751.4281,801.60675,214.75642,-177.00082
-52.886578,426.0752,395.15927,583.5153,51.92733,-418.34494
0.18943349,190.82045,-176.44304,259.89352,23.198656,-203.18425
75.84514,160.90788,242.05994,300.66174,-80.3124,-191.86755
-39.859406,310.24808,-131.55565,339.3413,23.858597,-299.54584
-138.56052,182.54868,-147.75249,272.67902,136.1671,-179.66971
339.92856,108.5252,291.50314,460.76456,-350.69266,-100.07856
-155.61879,461.54117,65.956535,491.51642,152.57962,-475.87427
275.48364,80.29775,6.7633533,287.02875,-249.9846,-50.849754
41.40676,-318.4475,-8.383254,321.5089,-47.42045,315.566
-117.04843,223.04863,-102.18945,271.83725,104.003586,-237.82314
-336.30133,216.45802,-841.79816,931.975,321.31842,-202.49612
97.04339,168.82433,211.34496,287.91394,-110.04869,-176.63312
275.1722,-110.22809,-1209.3846,1245.1896,-266.769,108.59797
158.21475,85.766174,-485.43903,517.7273,-172.75282,-73.56422
-209.0119,-87.69438,-116.83096,255.00148,178.82394,87.87235
-454.59103,-31.56734,-283.73288,536.7997,472.3114,53.2381
-58.51054,-375.86935,-220.84679,439.8595,55.461796,351.15073
-145.66556,-68.4062,-13.66962,161.74574,151.345,70.33882
-150.48727,242.15022,-389.4026,482.75052,151.10623,-247.87479
-184.0099,-152.84819,454.90717,513.9685,188.13374,158.4916
-250.95131,-65.087715,-368.559,450.61188,244.36208,55.331272
-89.56043,181.94293,-24.758064,204.29704,106.76853,-185.69817
297.45352,-147.52032,-109.015045,349.466,-290.2221,159.81259
-292.85046,72.65,-786.14667,842.06146,292.21164,-80.248405
-152.42462,-163.95471,-297.72116,374.96558,170.21646,172.26819
263.90033,204.31918,195.8754,386.99365,-261.88513,-212.06839
106.29895,-285.11026,1392.7773,1425.6466,-110.32553,292.10364
-56.075615,249.3808,336.0602,422.23364,55.36894,-245.8304
-216.4495,-216.4529,452.67953,546.46375,206.37434,198.43475
-223.34062,-96.918015,364.3684,438.22308,228.25633,83.1707
-239.45387,-185.61713,307.01678,431.34326,233.77766,184.78616
-69.11836,-215.81055,326.91434,397.8615,73.3083,201.25104
-306.8696,67.83169,731.77924,796.41223,293.43613,-56.140102
-157.61497,-120.02625,-259.47256,326.46036,8.741783,162.5639
-147.4616,-50.117554,146.5576,213.86171,149.02516,50.506798
179.0202,190.4391,-504.03793,567.77637,-170.57524,-173.40683
135.37909,-128.31519,240.41539,304.5957,-145.24883,144.20447
-48.324097,443.55698,572.59424,726.04065,45.93239,-447.43005
200.90314,-83.38646,-13.518728,217.94711,-203.02852,62.345936
203.76715,-45.189217,215.22511,299.80862,-199.50089,44.784096
-385.18777,244.62843,-521.3702,692.85077,370.08838,-249.00069
30.405788,127.46436,-71.35307,149.21573,-36.56813,-117.189896
174.72157,-163.94067,-18.644236,240.32376,-181.11702,161.78656
201.92339,-17.557255,-267.69742,335.7751,-176.29579,19.63432
-23.093567,236.20255,255.10388,348.434,1.5851203,-230.91988
72.685005,239.1113,-183.1464,311.0841,-76.816185,-224.03647
-256.91498,193.16678,-464.30908,564.7148,257.957,-186.2826
265.52985,72.63359,187.72778,333.20392,-264.12955,-72.21848
